Date,Close_Price,Open_Price,High_Price,Low_Price
2021-11-19,97.0,93.0,98.75,89.875
2021-11-20,88.5,94.75,96.0,86.5
2021-11-21,88.5,94.75,96.0,86.5
2021-11-22,88.5,94.75,96.0,86.5
2021-11-23,86.5,88.0,88.0,81.5
2021-11-24,95.0,86.5,95.0,85.5
2021-11-25,93.5,90.25,96.0,90.0
2021-11-26,93.5,90.25,96.0,90.0
2021-11-27,91.75,96.25,96.25,90.375
2021-11-28,91.75,96.25,96.25,90.375
2021-11-29,91.75,96.25,96.25,90.375
2021-11-30,91.5,90.25,91.5,86.0
2021-12-01,87.0,92.125,95.0,86.25
2021-12-02,85.25,86.25,88.5,82.5
2021-12-03,77.5,83.5,84.75,76.75
2021-12-04,73.5,77.0,78.5,70.0
2021-12-05,73.5,77.0,78.5,70.0
2021-12-06,73.5,77.0,78.5,70.0
2021-12-07,78.75,75.75,80.875,75.25
2021-12-08,77.75,79.5,80.0,75.5
2021-12-09,75.0,76.25,78.25,73.5
2021-12-10,70.25,75.5,75.75,70.25
2021-12-11,67.5,70.25,70.25,67.25
2021-12-12,67.5,70.25,70.25,67.25
2021-12-13,67.5,70.25,70.25,67.25
2021-12-14,69.5,66.25,70.0,63.5
2021-12-15,71.25,70.0,72.0,69.25
2021-12-16,66.0,71.25,72.25,65.75
2021-12-17,68.25,65.75,69.75,63.0
2021-12-18,66.25,67.0,67.0,63.5
2021-12-19,66.25,67.0,67.0,63.5
2021-12-20,66.25,67.0,67.0,63.5
2021-12-21,72.25,69.0,73.25,68.125
2021-12-22,73.75,72.0,75.5,71.75
2021-12-23,77.25,75.0,78.0,72.5
2021-12-24,73.25,77.25,78.0,73.0
2021-12-25,73.25,77.25,78.0,73.0
2021-12-26,73.25,77.25,78.0,73.0
2021-12-27,73.25,77.25,78.0,73.0
2021-12-28,72.25,74.25,76.25,70.25
2021-12-29,70.5,70.5,71.5,69.0
2021-12-30,74.5,71.0,75.5,69.875
2021-12-31,70.75,73.25,75.25,70.75
2022-01-01,69.5,70.75,71.25,67.75
2022-01-02,69.5,70.75,71.25,67.75
2022-01-03,69.5,70.75,71.25,67.75
2022-01-04,67.75,70.25,71.0,66.75
2022-01-05,65.25,68.0,69.75,64.0
2022-01-06,64.25,64.75,66.25,59.5
2022-01-07,61.75,63.0,64.0,60.25
2022-01-08,60.0,61.5,61.75,57.75
2022-01-09,60.0,61.5,61.75,57.75
2022-01-10,60.0,61.5,61.75,57.75
2022-01-11,62.25,61.25,63.75,59.75
2022-01-12,66.0,63.75,67.0,62.875
2022-01-13,62.25,67.75,67.75,62.25
2022-01-14,61.5,62.75,62.75,59.0
2022-01-15,56.5,59.75,60.25,56.0
2022-01-16,56.5,59.75,60.25,56.0
2022-01-17,56.5,59.75,60.25,56.0
2022-01-18,56.5,59.75,60.25,56.0
2022-01-19,56.25,56.75,59.0,55.75
2022-01-20,56.25,57.0,59.75,56.0
2022-01-21,52.5,57.5,57.75,52.0
2022-01-22,49.75,50.0,50.5,46.0
2022-01-23,49.75,50.0,50.5,46.0
2022-01-24,49.75,50.0,50.5,46.0
2022-01-25,48.25,49.5,50.375,46.75
2022-01-26,50.25,49.75,52.25,48.0
2022-01-27,48.75,51.25,52.375,47.25
2022-01-28,48.0,49.0,49.0,44.75
2022-01-29,52.5,48.75,53.5,48.375
2022-01-30,52.5,48.75,53.5,48.375
2022-01-31,52.5,48.75,53.5,48.375
2022-02-01,53.75,52.75,55.25,51.125
2022-02-02,50.75,54.0,54.0,50.5
2022-02-03,47.5,50.0,51.25,47.125
2022-02-04,48.5,48.0,48.75,45.75
2022-02-05,48.5,48.75,49.25,47.25
2022-02-06,48.5,48.75,49.25,47.25
2022-02-07,48.5,48.75,49.25,47.25
2022-02-08,49.5,48.5,50.5,47.0
