Date,Close_Price,Open_Price,High_Price,Low_Price
2022-06-30,2160.0,2140.0,2420.0,2080.0
2022-07-01,2280.0,2120.0,2380.0,2100.0
2022-07-02,2340.0,2280.0,2360.0,2200.0
2022-07-03,2340.0,2280.0,2360.0,2200.0
2022-07-04,2340.0,2280.0,2360.0,2200.0
2022-07-05,2340.0,2280.0,2360.0,2200.0
2022-07-06,2300.0,2360.0,2360.0,2240.0
2022-07-07,2320.0,2340.0,2358.0,2260.0
2022-07-08,2360.0,2300.0,2380.0,2260.0
2022-07-09,2300.0,2380.0,2380.0,2280.0
2022-07-10,2300.0,2380.0,2380.0,2280.0
2022-07-11,2300.0,2380.0,2380.0,2280.0
2022-07-12,2200.0,2300.0,2320.0,2200.0
2022-07-13,2280.0,2240.0,2380.0,2200.0
2022-07-14,2260.0,2300.0,2300.0,2120.0
2022-07-15,2260.0,2220.0,2260.0,2188.0
2022-07-16,2180.0,2240.0,2260.0,2140.0
2022-07-17,2180.0,2240.0,2260.0,2140.0
2022-07-18,2180.0,2240.0,2260.0,2140.0
2022-07-19,2200.0,2160.0,2240.0,2140.0
2022-07-20,2200.0,2180.0,2340.0,2080.0
2022-07-21,2180.0,2200.0,2240.0,2120.0
2022-07-22,2080.0,2220.0,2220.0,2060.0
2022-07-23,2060.0,2100.0,2120.0,2060.0
2022-07-24,2060.0,2100.0,2120.0,2060.0
2022-07-25,2060.0,2100.0,2120.0,2060.0
2022-07-26,2720.0,2060.0,3700.0,2060.0
2022-07-27,2500.0,2660.0,2900.0,2400.0
2022-07-28,2300.0,2420.0,2480.0,2200.0
2022-07-29,2160.0,2220.0,2280.0,2060.0
2022-07-30,2180.0,2200.0,2238.0,2100.0
2022-07-31,2180.0,2200.0,2238.0,2100.0
2022-08-01,2180.0,2200.0,2238.0,2100.0
2022-08-02,2220.0,2120.0,2400.0,2080.0
2022-08-03,2240.0,2260.0,2500.0,2180.0
2022-08-04,2280.0,2320.0,2340.0,2240.0
2022-08-05,2540.0,2280.0,2600.0,2240.0
2022-08-06,2620.0,2660.0,3000.0,2500.0
2022-08-07,2620.0,2660.0,3000.0,2500.0
2022-08-08,2620.0,2660.0,3000.0,2500.0
2022-08-09,2480.0,2620.0,2720.0,2400.0
2022-08-10,2460.0,2460.0,2520.0,2400.0
2022-08-11,2480.0,2460.0,2620.0,2400.0
2022-08-12,2480.0,2500.0,2640.0,2420.0
2022-08-13,2620.0,2460.0,2662.0,2440.0
